site_number,lat,long
PAL-01,5.869717,-162.06895
PAL-02,5.882533,-162.1313
PAL-04,5.873733,-162.1165
PAL-05,5.896017,-162.13745
PAL-06P,5.871567,-162.1183
PAL-09,5.867433,-162.09585
PAL-10,5.866017,-162.048483
PAL-11,5.883783,-162.133433
PAL-12,5.897233,-162.10765
PAL-15P,5.87035,-162.04495
PAL-16P,5.871522,-162.112295
PAL-18,5.896083,-162.148317
PAL-19,5.866549,-162.109527
PAL-20,5.89651,-162.119278
PAL-21,5.895823,-162.084743
PAL-25,5.86399,-162.031238
PAL-26,5.86385,-162.12688
PALB1,5.866433,-162.1093
PALB2,5.869267,-162.07565
PALB3,5.865417,-162.039633
PALB4,5.89575,-162.081467
PALB5,5.896833,-162.100317
PALB6,5.8893,-162.04665
PALB7,5.897833,-162.062817
PALB8,5.896017,-162.119533
PALB10,5.866267,-162.05805
PALB12,5.89675,-162.12845
