iucn_sid,sciname,population,category,common
165871,Centropyge bispinosa,NA,LC,Twospined Angelfish
165878,Centropyge flavissima,NA,LC,Lemonpeel Angelfish
165828,Centropyge fisheri,NA,LC,Hawaiian Flame Angelfish
165862,Pomacanthus imperator,NA,LC,Emperor Angelfish
165841,Apolemichthys xanthopunctatus,NA,LC,Goldspotted Angelfish
165897,Centropyge nigriocellus,NA,LC,Blackspot Angelfish
155308,Centropyge loricula,NA,LC,Flame Angel
194307,Elops hawaiensis,NA,DD,Giant Herring
165681,Chaetodon ephippium,NA,LC,Saddle-back Butterflyfish
165631,Chaetodon auriga,NA,LC,Threadfin Butterflyfish
165725,Chaetodon semeion,NA,LC,Decorated Butterflyfish
165669,Chaetodon lineolatus,NA,LC,Lined Butterflyfish
165668,Chaetodon citrinellus,NA,LC,Speckled Butterflyfish
165712,Chaetodon trifascialis,NA,NT,Triangulate Butterflyfish
165678,Chaetodon quadrimaculatus,NA,LC,Neonbanded Butterflyfish
165667,Forcipiger longirostris,NA,LC,Black Long-nosed Butterflyfish
154788,Hemitaurichthys thompsoni,NA,LC,Thompson's Butterflyfish
165632,Chaetodon punctatofasciatus,NA,LC,Spotted Belly Butterflyfish
165638,Chaetodon meyeri,NA,LC,Scrawled Butterflyfish
165628,Chaetodon kleinii,NA,LC,Whitespotted Butterflyfish
165686,Chaetodon bennetti,NA,DD,Bluelashed Butterflyfish
165672,Hemitaurichthys polylepis,NA,LC,Brushytoothed Butterflyfish
165651,Chaetodon lunula,NA,LC,Redstriped Butterflyfish
165641,Chaetodon ornatissimus,NA,LC,Ornate Butterflyfish
165713,Chaetodon reticulatus,NA,DD,Reticulated Butterflyfish
165704,Chaetodon lunulatus,NA,LC,Pacific Pinstriped Butterflyfish
165665,Chaetodon ulietensis,NA,LC,Pacific Double-saddled Butterflyfish
165716,Forcipiger flavissimus,NA,LC,Big long-nosed Butterflyfish
165714,Chaetodon unimaculatus,NA,LC,Teardrop Butterfly Fish
165630,Chaetodon vagabundus,NA,LC,Criss-cross Butterflyfish
165626,Heniochus acuminatus,NA,LC,Pennant Coral Fish
60210,Euprotomicrus bispinatus,NA,LC,Pygmy Shark
161696,Alopias superciliosus,NA,VU,Bigeye Thresher
39365,Carcharhinus amblyrhynchos,NA,NT,Grey Reef Shark
39381,Prionace glauca,NA,NT,Blue Shark
161597,Alopias pelagicus,NA,VU,Pelagic Thresher
39415,Aetobatus narinari,NA,NT,Spotted Eagle Ray
3855,Carcharodon carcharias,NA,VU,White Shark
42566169,Aetobatus ocellatus,NA,VU,Spotted Eagle Ray
39384,Triaenodon obesus,NA,NT,Whitetip Reef Shark
39339,Alopias vulpinus,NA,VU,Common Thresher
60225,Isurus paucus,NA,EN,Longfin Mako
39337,Pseudocarcharias kamoharai,NA,LC,Crocodile Shark
39378,Galeocerdo cuvier,NA,NT,Tiger Shark
161731,Pteroplatytrygon violacea,NA,LC,Pelagic Stingray
39338,Megachasma pelagios,NA,LC,Megamouth Shark
39341,Isurus oxyrinchus,NA,EN,Shortfin Mako
195459,Mobula alfredi,NA,VU,Reef Manta Ray
39370,Carcharhinus falciformis,NA,VU,Silky Shark
