"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"1",155308,155308,"Centropyge loricula",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"2",165878,165878,"Centropyge flavissima",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"3",165841,165841,"Apolemichthys xanthopunctatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"4",165862,165862,"Pomacanthus imperator",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"5",165871,165871,"Centropyge bispinosa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"6",165828,165828,"Centropyge fisheri",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"7",165897,165897,"Centropyge nigriocellus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"8",194307,194307,"Elops hawaiensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BONEFISH_TARPONS.dbf","200 m +",TRUE
"9",165631,165631,"Chaetodon auriga",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"10",165665,165665,"Chaetodon ulietensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"11",165667,165667,"Forcipiger longirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"12",165668,165668,"Chaetodon citrinellus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"13",165672,165672,"Hemitaurichthys polylepis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"14",165628,165628,"Chaetodon kleinii",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"15",165626,165626,"Heniochus acuminatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"16",165630,165630,"Chaetodon vagabundus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"17",165632,165632,"Chaetodon punctatofasciatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"18",165638,165638,"Chaetodon meyeri",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"19",165641,165641,"Chaetodon ornatissimus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"20",165651,165651,"Chaetodon lunula",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"21",165669,165669,"Chaetodon lineolatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"22",165704,165704,"Chaetodon lunulatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"23",165712,165712,"Chaetodon trifascialis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","unknown",TRUE
"24",165713,165713,"Chaetodon reticulatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"25",165714,165714,"Chaetodon unimaculatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"26",165716,165716,"Forcipiger flavissimus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"27",165725,165725,"Chaetodon semeion",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"28",154788,154788,"Hemitaurichthys thompsoni",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"29",165678,165678,"Chaetodon quadrimaculatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"30",165681,165681,"Chaetodon ephippium",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"31",165686,165686,"Chaetodon bennetti",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"32",3855,3855,"Carcharodon carcharias",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"33",19488,19488,"Rhincodon typus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"34",39337,39337,"Pseudocarcharias kamoharai",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"35",39338,39338,"Megachasma pelagios",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"36",39339,39339,"Alopias vulpinus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"37",39341,39341,"Isurus oxyrinchus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
