iucn_sid,sciname,class,common,category
165871,Centropyge bispinosa,actinopterygii,Twospined Angelfish,LC
165878,Centropyge flavissima,actinopterygii,Lemonpeel Angelfish,LC
165828,Centropyge fisheri,actinopterygii,Hawaiian Flame Angelfish,LC
165862,Pomacanthus imperator,actinopterygii,Emperor Angelfish,LC
165841,Apolemichthys xanthopunctatus,actinopterygii,Goldspotted Angelfish,LC
165897,Centropyge nigriocellus,actinopterygii,Blackspot Angelfish,LC
155308,Centropyge loricula,actinopterygii,Flame Angel,LC
194307,Elops hawaiensis,actinopterygii,Giant Herring,DD
165681,Chaetodon ephippium,actinopterygii,Saddle-back Butterflyfish,LC
165631,Chaetodon auriga,actinopterygii,Threadfin Butterflyfish,LC
165725,Chaetodon semeion,actinopterygii,Decorated Butterflyfish,LC
165669,Chaetodon lineolatus,actinopterygii,Lined Butterflyfish,LC
165668,Chaetodon citrinellus,actinopterygii,Speckled Butterflyfish,LC
165712,Chaetodon trifascialis,actinopterygii,Triangulate Butterflyfish,NT
165678,Chaetodon quadrimaculatus,actinopterygii,Neonbanded Butterflyfish,LC
165667,Forcipiger longirostris,actinopterygii,Black Long-nosed Butterflyfish,LC
154788,Hemitaurichthys thompsoni,actinopterygii,Thompson's Butterflyfish,LC
165632,Chaetodon punctatofasciatus,actinopterygii,Spotted Belly Butterflyfish,LC
165638,Chaetodon meyeri,actinopterygii,Scrawled Butterflyfish,LC
165628,Chaetodon kleinii,actinopterygii,Whitespotted Butterflyfish,LC
165686,Chaetodon bennetti,actinopterygii,Bluelashed Butterflyfish,DD
165672,Hemitaurichthys polylepis,actinopterygii,Brushytoothed Butterflyfish,LC
165651,Chaetodon lunula,actinopterygii,Redstriped Butterflyfish,LC
165641,Chaetodon ornatissimus,actinopterygii,Ornate Butterflyfish,LC
165713,Chaetodon reticulatus,actinopterygii,Reticulated Butterflyfish,DD
165704,Chaetodon lunulatus,actinopterygii,Pacific Pinstriped Butterflyfish,LC
165665,Chaetodon ulietensis,actinopterygii,Pacific Double-saddled Butterflyfish,LC
165716,Forcipiger flavissimus,actinopterygii,Big long-nosed Butterflyfish,LC
165714,Chaetodon unimaculatus,actinopterygii,Teardrop Butterfly Fish,LC
165630,Chaetodon vagabundus,actinopterygii,Criss-cross Butterflyfish,LC
165626,Heniochus acuminatus,actinopterygii,Pennant Coral Fish,LC
60210,Euprotomicrus bispinatus,chondrichthyes,Pygmy Shark,LC
161696,Alopias superciliosus,chondrichthyes,Bigeye Thresher,VU
39365,Carcharhinus amblyrhynchos,chondrichthyes,Grey Reef Shark,NT
39381,Prionace glauca,chondrichthyes,Blue Shark,NT
161597,Alopias pelagicus,chondrichthyes,Pelagic Thresher,VU
39415,Aetobatus narinari,chondrichthyes,Spotted Eagle Ray,NT
3855,Carcharodon carcharias,chondrichthyes,White Shark,VU
42566169,Aetobatus ocellatus,chondrichthyes,Spotted Eagle Ray,VU
39384,Triaenodon obesus,chondrichthyes,Whitetip Reef Shark,NT
39339,Alopias vulpinus,chondrichthyes,Common Thresher,VU
60225,Isurus paucus,chondrichthyes,Longfin Mako,EN
39337,Pseudocarcharias kamoharai,chondrichthyes,Crocodile Shark,LC
39378,Galeocerdo cuvier,chondrichthyes,Tiger Shark,NT
161731,Pteroplatytrygon violacea,chondrichthyes,Pelagic Stingray,LC
39338,Megachasma pelagios,chondrichthyes,Megamouth Shark,LC
39341,Isurus oxyrinchus,chondrichthyes,Shortfin Mako,EN
195459,Mobula alfredi,chondrichthyes,Reef Manta Ray,VU
39370,Carcharhinus falciformis,chondrichthyes,Silky Shark,VU
198921,Mobula birostris,chondrichthyes,Giant Manta Ray,VU
19488,Rhincodon typus,chondrichthyes,Whale Shark,EN
39374,Carcharhinus longimanus,chondrichthyes,Oceanic Whitetip Shark,VU
48342260,Entomacrodus cymatobiotus,actinopterygii,Pacific Rockskipper,LC
48342422,Blenniella gibbifrons,actinopterygii,Picture Rockskipper,LC
48342248,Cirripectes polyzona,actinopterygii,Barred Blenny,LC
48342346,Aspidontus taeniatus,actinopterygii,Cleaner Mimic,LC
48342402,Cirripectes variolosus,actinopterygii,Banded Fringe Blenny,LC
48342105,Cirripectes auritus,actinopterygii,Blackflap Blenny,LC
178932,Enneapterygius tutuilae,actinopterygii,High Hat Triplefin,LC
48342306,Cirripectes jenningsi,actinopterygii,NA,LC
48342126,Blenniella paula,actinopterygii,Blue-dashed Rockskipper,LC
48342265,Entomacrodus thalassinus,actinopterygii,Reef Margin Blenny,LC
48342168,Omobranchus obliquus,actinopterygii,Mangrove Blenny,LC
46079801,Istiblennius edentulus,actinopterygii,Smoothlipped Blenny,LC
48342137,Exallias brevis,actinopterygii,Leopard Blenny,LC
48342428,Cirripectes quagga,actinopterygii,Zebra Blenny,LC
48342519,Rhabdoblennius rhabdotrachelus,actinopterygii,Barchin Blenny,LC
48342477,Plagiotremus rhinorhynchos,actinopterygii,Bluestriped Fangblenny,LC
48342366,Plagiotremus tapeinosoma,actinopterygii,Piano Fangblenny,LC
48342213,Entomacrodus striatus,actinopterygii,Blackspotted Rockskipper,LC
48342333,Ecsenius midas,actinopterygii,Midas Blenny,LC
48342309,Petroscirtes xestus,actinopterygii,Bearded Sabretooth Blenny,LC
192811,Conus planorbis,gastropoda,NA,LC
192634,Conus miles,gastropoda,NA,LC
192636,Conus coronatus,gastropoda,NA,LC
192506,Conus pulicarius,gastropoda,Flea Cone,LC
192844,Conus lividus,gastropoda,NA,LC
192879,Conus pertusus,gastropoda,NA,LC
192611,Conus ebraeus,gastropoda,NA,LC
192815,Conus auricomus,gastropoda,NA,LC
192704,Conus acutangulus,gastropoda,NA,LC
192297,Conus bullatus,gastropoda,Bubble Cone,LC
192296,Conus sanguinolentus,gastropoda,NA,LC
192587,Conus bandanus,gastropoda,NA,LC
192754,Conus coffeae,gastropoda,NA,LC
192567,Conus mitratus,gastropoda,NA,LC
192694,Conus varius,gastropoda,NA,LC
192789,Conus tulipa,gastropoda,NA,LC
192778,Conus vexillum,gastropoda,NA,LC
192812,Conus quercinus,gastropoda,NA,LC
192424,Conus obscurus,gastropoda,NA,LC
192700,Conus eburneus,gastropoda,NA,LC
192428,Conus rattus,gastropoda,NA,LC
192440,Conus circumactus,gastropoda,NA,LC
192521,Conus retifer,gastropoda,NA,LC
192593,Conus imperialis,gastropoda,NA,LC
192321,Conus striatus,gastropoda,NA,LC
192737,Conus canonicus,gastropoda,NA,LC
192316,Conus textile,gastropoda,NA,LC
192367,Conus catus,gastropoda,NA,LC
192318,Conus nussatella,gastropoda,NA,LC
192460,Conus generalis,gastropoda,NA,LC
192722,Conus glans,gastropoda,NA,LC
192564,Conus moreleti,gastropoda,NA,LC
192562,Conus flavidus,gastropoda,Yellow Pacific cone,LC
192743,Conus tessulatus,gastropoda,NA,LC
192664,Conus episcopatus,gastropoda,NA,LC
192419,Conus frigidus,gastropoda,Frigid Cone,LC
192674,Conus sponsalis,gastropoda,Sponsal Cone,LC
192853,Conus virgo,gastropoda,NA,LC
192793,Conus cylindraceus,gastropoda,Cylindrical Cone,LC
192342,Conus emaciatus,gastropoda,False Virgin Cone,LC
192305,Conus distans,gastropoda,NA,LC
192719,Conus litteratus,gastropoda,NA,LC
192586,Conus terebra,gastropoda,NA,LC
192870,Conus arenatus,gastropoda,Sand-dusted Cone,LC
192563,Conus aulicus,gastropoda,NA,LC
192772,Conus geographus,gastropoda,NA,LC
192538,Conus ferrugineus,gastropoda,NA,LC
192378,Conus litoglyphus,gastropoda,NA,LC
192573,Conus magnificus,gastropoda,NA,LC
192580,Conus chaldaeus,gastropoda,NA,LC
