iucn_sid,sciname,class,common,category
45959182,Puffinus lherminieri,aves,Audubon's shearwater,EX
132631353,Ardenna pacifica,aves,Wedge-tailed shearwater,EX
22698001,Pterodroma alba,aves,Phoenix petrel,EX
22698222,Puffinus nativitatis,aves,Christmas island shearwater,EX
22698132,Bulweria bulwerii,aves,Bulwer's petrel,EX
22698471,Nesofregetta fuliginosa,aves,Polynesian storm-petrel,EX
22694799,Anous minutus,aves,Black noddy,EX
133493654,Anous ceruleus,aves,Blue noddy,EX
22694794,Anous stolidus,aves,Brown noddy,LC
132571340,Onychoprion fuscatus,aves,Sooty tern,LC
132569974,Onychoprion lunatus,aves,Gray-backed tern,EX
22694821,Gygis alba,aves,White tern,LC
22697733,Fregata minor,aves,Great Frigatebird,LC
22697738,Fregata ariel,aves,Lesser Frigatebird,LC
22696645,Phaethon lepturus,aves,White-tailed tropicbird,LC
22696641,Phaethon rubricauda,aves,Red-tailed tropicbird,LC
22696694,Sula sula,aves,Red-footed booby,LC
22696698,Sula leucogaster,aves,Brow booby,LC
22736173,Sula dactylatra,aves,Masked booby,LC
