year,sciname,cat,cat_txt,cat_score
2017,Abudefduf septemfasciatus,LC,Least Concern,0
2018,Abudefduf septemfasciatus,LC,Least Concern,0
2019,Abudefduf septemfasciatus,LC,Least Concern,0
2020,Abudefduf septemfasciatus,LC,Least Concern,0
2017,Abudefduf sordidus,LC,Least Concern,0
2018,Abudefduf sordidus,LC,Least Concern,0
2019,Abudefduf sordidus,LC,Least Concern,0
2020,Abudefduf sordidus,LC,Least Concern,0
2017,Abudefduf vaigiensis,LC,Least Concern,0
2018,Abudefduf vaigiensis,LC,Least Concern,0
2019,Abudefduf vaigiensis,LC,Least Concern,0
2020,Abudefduf vaigiensis,LC,Least Concern,0
2011,Acanthocybium solandri,LC,Least Concern,0
2012,Acanthocybium solandri,LC,Least Concern,0
2013,Acanthocybium solandri,LC,Least Concern,0
2014,Acanthocybium solandri,LC,Least Concern,0
2015,Acanthocybium solandri,LC,Least Concern,0
2016,Acanthocybium solandri,LC,Least Concern,0
2017,Acanthocybium solandri,LC,Least Concern,0
2018,Acanthocybium solandri,LC,Least Concern,0
2019,Acanthocybium solandri,LC,Least Concern,0
2020,Acanthocybium solandri,LC,Least Concern,0
2012,Acanthurus achilles,LC,Least Concern,0
2013,Acanthurus achilles,LC,Least Concern,0
2014,Acanthurus achilles,LC,Least Concern,0
2015,Acanthurus achilles,LC,Least Concern,0
2016,Acanthurus achilles,LC,Least Concern,0
2017,Acanthurus achilles,LC,Least Concern,0
2018,Acanthurus achilles,LC,Least Concern,0
2019,Acanthurus achilles,LC,Least Concern,0
2020,Acanthurus achilles,LC,Least Concern,0
2012,Acanthurus blochii,LC,Least Concern,0
2013,Acanthurus blochii,LC,Least Concern,0
2014,Acanthurus blochii,LC,Least Concern,0
2015,Acanthurus blochii,LC,Least Concern,0
2016,Acanthurus blochii,LC,Least Concern,0
2017,Acanthurus blochii,LC,Least Concern,0
2018,Acanthurus blochii,LC,Least Concern,0
2019,Acanthurus blochii,LC,Least Concern,0
2020,Acanthurus blochii,LC,Least Concern,0
2012,Acanthurus dussumieri,LC,Least Concern,0
2013,Acanthurus dussumieri,LC,Least Concern,0
2014,Acanthurus dussumieri,LC,Least Concern,0
2015,Acanthurus dussumieri,LC,Least Concern,0
2016,Acanthurus dussumieri,LC,Least Concern,0
2017,Acanthurus dussumieri,LC,Least Concern,0
2018,Acanthurus dussumieri,LC,Least Concern,0
2019,Acanthurus dussumieri,LC,Least Concern,0
2020,Acanthurus dussumieri,LC,Least Concern,0
2012,Acanthurus guttatus,LC,Least Concern,0
2013,Acanthurus guttatus,LC,Least Concern,0
2014,Acanthurus guttatus,LC,Least Concern,0
2015,Acanthurus guttatus,LC,Least Concern,0
