iucn_sid,sciname,class,common,category
13486514,Ablennes hians,actinopterygii,Flat Needlefish,LC
188467,Abudefduf sordidus,actinopterygii,Yellow-banded Sergeant-major,LC
188453,Abudefduf septemfasciatus,actinopterygii,Seven-banded Sergeant-major,LC
188609,Abudefduf vaigiensis,actinopterygii,Five-banded Sergeant-major,LC
177960,Acanthurus achilles,actinopterygii,Achilles Tang,LC
177971,Acanthurus blochii,actinopterygii,Ringtail Surgeonfish,LC
177981,Acanthurus dussumieri,actinopterygii,Eyestripe Surgeonfish,LC
177995,Acanthurus guttatus,actinopterygii,Whitespotted Surgeonfish,LC
178011,Acanthurus leucopareius,actinopterygii,Whitebar Surgeonfish,LC
177993,Acanthurus lineatus,actinopterygii,Lined Surgeonfish,LC
177994,Acanthurus leucocheilus,actinopterygii,Palelipped Surgeonfish,LC
177957,Acanthurus maculiceps,actinopterygii,Spotted-face Surgeonfish,LC
177967,Acanthurus mata,actinopterygii,Elongate Surgeonfish,LC
177969,Acanthurus nigricans,actinopterygii,Golden Rim Surgeonfish,LC
178019,Acanthurus nigrofuscus,actinopterygii,Brown Surgeonfish,LC
178017,Acanthurus nigricauda,actinopterygii,Blackstreak Surgeonfish,LC
177999,Acanthurus nigroris,actinopterygii,Bluelined Surgeonfish,LC
177991,Acanthurus olivaceus,actinopterygii,Orange band Surgeonfish,LC
178022,Acanthurus pyroferus,actinopterygii,Mimic Surgeonfish,LC
170331,Acanthocybium solandri,actinopterygii,Wahoo,LC
178008,Acanthurus thompsoni,actinopterygii,Thompson's Surgeonfish,LC
177965,Acanthurus triostegus,actinopterygii,Convict Surgeonfish,LC
177989,Acanthurus xanthopterus,actinopterygii,Yellowfin Surgeonfish,LC
39415,Aetobatus narinari,chondrichthyes,Spotted Eagle Ray,NT
194299,Albula glossodonta,actinopterygii,Shortjaw Bonefish,VU
190125,Aluterus scriptus,actinopterygii,Scribbled Leatherjacket Filefish,LC
"NA",Amblygobius phalaena,actinopterygii,Whitebarred goby,NE
69921994,Amanses scopas,actinopterygii,Broom Filefish,LC
187716,Anampses caeruleopunctatus,actinopterygii,Bluespotted Wrasse,LC
"NA",Antennarius coccineus,actinopterygii,NA,NE
155146,Anampses melanurus,actinopterygii,White-spotted Wrasse,LC
187723,Anampses meleagrides,actinopterygii,Spotted Wrasse,LC
187784,Anampses twistii,actinopterygii,Yellowbreasted Wrasse,LC
"NA",Apogon angustatus,actinopterygii,NA,NE
194289,Aphareus furca,actinopterygii,Small-toothed Jobfish,LC
165822,Apolemichthys griffisi,actinopterygii,Griffis Angelfish,LC
"NA",Apogon kallopterus,actinopterygii,NA,NE
194379,Aprion virescens,actinopterygii,Green Jobfish,LC
165841,Apolemichthys xanthopunctatus,actinopterygii,Goldspotted Angelfish,LC
193699,Arothron hispidus,actinopterygii,White-spotted Puffer,LC
193662,Arothron meleagris,actinopterygii,Guineafowl Puffer,LC
193804,Arothron nigropunctatus,actinopterygii,Blackspotted Puffer,LC
193191,Asterropteryx semipunctata,actinopterygii,Star-finned Goby,LC
48342346,Aspidontus taeniatus,actinopterygii,Cleaner Mimic,LC
20256729,Atule mate,actinopterygii,Yellowtail Scad,LC
65134886,Aulostomus chinensis,actinopterygii,Chinese Trumpetfish,LC
"NA",Balistapus undulatus,actinopterygii,Orange-lined triggerfish,NE
"NA",Balistoides viridescens,actinopterygii,Titan triggerfish,NE
187516,Bodianus axillaris,actinopterygii,Turncoat hogfish,LC
187744,Bodianus loxozonus,actinopterygii,Blackfin Hogfish,LC
154833,Bothus mancus,actinopterygii,Flowery Flounder,LC
63571,Bolbometopon muricatum,actinopterygii,Green Humphead Parrotfish,VU
187571,Bodianus prognathus,actinopterygii,NA,LC
46076701,Brotula multibarbata,actinopterygii,Pacific Bearded Brotula,LC
39365,Carcharhinus amblyrhynchos,chondrichthyes,Grey Reef Shark,NT
161526,Carcharhinus albimarginatus,chondrichthyes,Silvertip Shark,VU
193675,Canthigaster amboinensis,actinopterygii,Spider-eye Puffer,LC
190688,Calotomus carolinus,actinopterygii,Carolines Parrotfish,LC
