year,code,category,sciname
2010,LC,Least Concern,Centropyge bispinosa
2010,LC,Least Concern,Centropyge flavissima
2010,LC,Least Concern,Centropyge fisheri
2010,LC,Least Concern,Pomacanthus imperator
2010,LC,Least Concern,Apolemichthys xanthopunctatus
2010,LC,Least Concern,Centropyge nigriocellus
2010,LC,Least Concern,Centropyge loricula
2012,DD,Data Deficient,Elops hawaiensis
2010,LC,Least Concern,Chaetodon ephippium
2010,LC,Least Concern,Chaetodon auriga
2010,LC,Least Concern,Chaetodon semeion
2010,LC,Least Concern,Chaetodon lineolatus
2010,LC,Least Concern,Chaetodon citrinellus
2010,NT,Near Threatened,Chaetodon trifascialis
2010,LC,Least Concern,Chaetodon quadrimaculatus
2010,LC,Least Concern,Forcipiger longirostris
2010,LC,Least Concern,Hemitaurichthys thompsoni
2010,LC,Least Concern,Chaetodon punctatofasciatus
2010,LC,Least Concern,Chaetodon meyeri
2010,LC,Least Concern,Chaetodon kleinii
2010,DD,Data Deficient,Chaetodon bennetti
2010,LC,Least Concern,Hemitaurichthys polylepis
2010,LC,Least Concern,Chaetodon lunula
2010,LC,Least Concern,Chaetodon ornatissimus
2010,DD,Data Deficient,Chaetodon reticulatus
2010,LC,Least Concern,Chaetodon lunulatus
2010,LC,Least Concern,Chaetodon ulietensis
2010,LC,Least Concern,Forcipiger flavissimus
2010,LC,Least Concern,Chaetodon unimaculatus
2010,LC,Least Concern,Chaetodon vagabundus
2010,LC,Least Concern,Heniochus acuminatus
2015,LC,Least Concern,Euprotomicrus bispinatus
2006,LC,Least Concern,Euprotomicrus bispinatus
2019,VU,Vulnerable,Alopias superciliosus
2009,VU,Vulnerable,Alopias superciliosus
2009,NT,Near Threatened,Carcharhinus amblyrhynchos
2000,LR/nt,Lower Risk/near threatened,Carcharhinus amblyrhynchos
2019,NT,Near Threatened,Prionace glauca
2009,NT,Near Threatened,Prionace glauca
2000,LR/nt,Lower Risk/near threatened,Prionace glauca
2019,EN,Endangered,Alopias pelagicus
2009,VU,Vulnerable,Alopias pelagicus
2006,NT,Near Threatened,Aetobatus narinari
2000,DD,Data Deficient,Aetobatus narinari
2019,VU,Vulnerable,Carcharodon carcharias
2009,VU,Vulnerable,Carcharodon carcharias
2000,VU,Vulnerable,Carcharodon carcharias
1996,VU,Vulnerable,Carcharodon carcharias
1994,K,Insufficiently Known,Carcharodon carcharias
1990,K,Insufficiently Known,Carcharodon carcharias
2016,VU,Vulnerable,Aetobatus ocellatus
2009,NT,Near Threatened,Triaenodon obesus
2000,LR/nt,Lower Risk/near threatened,Triaenodon obesus
2019,VU,Vulnerable,Alopias vulpinus
