Species,Family,TaxonName,Pal_Kin
ABHI,Belonidae,Ablennes hians,Yes
ABSO,Pomacentridae,Abudefduf sordidus,Yes
ABSP,Pomacentridae,Abudefduf septemfasciatus,Yes
ABVA,Pomacentridae,Abudefduf vaigiensis,Yes
ACAC,Acanthuridae,Acanthurus achilles,Yes
ACAN,Acanthuridae,Acanthurus achillesXnigricans hybrid= rackliffei,Yes
ACBL,Acanthuridae,Acanthurus blochii,Yes
ACDU,Acanthuridae,Acanthurus dussumieri,Yes
ACGU,Acanthuridae,Acanthurus guttatus,Yes
ACLE,Acanthuridae,Acanthurus leucopareius,Yes
ACLI,Acanthuridae,Acanthurus lineatus,Yes
ACLU,Acanthuridae,Acanthurus leucocheilus,Yes
ACMA,Acanthuridae,Acanthurus maculiceps,Yes
ACMT,Acanthuridae,Acanthurus mata,Yes
ACNC,Acanthuridae,Acanthurus nigricans,Yes
ACNF,Acanthuridae,Acanthurus nigrofuscus,Yes
ACNI,Acanthuridae,Acanthurus nigricauda,Yes
ACNR,Acanthuridae,Acanthurus nigroris,Yes
ACOL,Acanthuridae,Acanthurus olivaceus,Yes
ACPY,Acanthuridae,Acanthurus pyroferus,Yes
ACSO,Scombridae,Acanthocybium solandri,Yes
ACSP,Acanthuridae,Acanthurus sp,Yes
ACTH,Acanthuridae,Acanthurus thompsoni,Yes
ACTR,Acanthuridae,Acanthurus triostegus,Yes
ACXA,Acanthuridae,Acanthurus xanthopterus,Yes
AENA,Myliobatidae,Aetobatus narinari,Yes
ALGL,Albulidae,Albula glossodonta,Yes
ALSC,Monacanthidae,Aluterus scriptus,Yes
AMPH,Gobiidae,Amblygobius phalaena,Yes
AMSC,Monacanthidae,Amanses scopas,Yes
ANCA,Labridae,Anampses caeruleopunctatus,Yes
ANCC,Antennariidae,Antennarius coccineus,Yes
ANGE,Pomacanthidae,Pomacanthidae sp,Yes
ANME,Labridae,Anampses melanurus,Yes
ANMG,Labridae,Anampses meleagrides,Yes
ANSP,Labridae,Anampses sp,Yes
ANTH,Anthias (Serranid),Anthias sp,Yes
ANTW,Labridae,Anampses twistii,Yes
APAN,Apogonidae,Apogon angustatus,Yes
APFU,Lutjanidae,Aphareus furca,Yes
APGR,Pomacanthidae,Apolemichthys griffisi,Yes
APKA,Apogonidae,Apogon kallopterus,Yes
APSP,Apogonidae,Apogon sp,Yes
APVI,Lutjanidae,Aprion virescens,Yes
APXA,Pomacanthidae,Apolemichthys xanthopunctatus,Yes
ARHI,Tetraodontidae,Arothron hispidus,Yes
ARME,Tetraodontidae,Arothron meleagris,Yes
ARNI,Tetraodontidae,Arothron nigropunctatus,Yes
ASSE,Gobiidae,Asterropteryx semipunctata,Yes
ASTA,Blenniidae,Aspidontus taeniatus,Yes
ATMA,Carangidae,Atule mate,Yes
AUCH,Aulostomidae,Aulostomus chinensis,Yes
BARR,Sphyraenidae,Sphyraenidae sp,Yes
BASP,Balistidae,Balistoides sp,Yes
BAUN,Balistidae,Balistapus undulatus,Yes
BAVI,Balistidae,Balistoides viridescens,Yes
BIGE,Priacanthidae,Priacanthus sp,Yes
BLEN,Blenniidae,Blenniidae sp,Yes
BOAX,Labridae,Bodianus axillaris,Yes
BOLO,Labridae,Bodianus loxozonus,Yes
BOMA,Bothidae,Bothus mancus,Yes
BOMU,Scaridae,Bolbometopon muricatum,Yes
BOPR,Labridae,Bodianus prognathus,Yes
BOTH,Bothidae,Bothidae sp,Yes
BOXF,Ostraciidae,Ostraciidae sp,Yes
BRMU,Ophidiidae,Brotula multibarbata,Yes
BUTT,Chaetodontidae,Chaetodontidae sp,Yes
CAAB,Carcharhinidae,Carcharhinus amblyrhynchos,Yes
CAAL,Carcharhinidae,Carcharhinus albimarginatus,Yes
CAAM,Tetraodontidae,Canthigaster amboinensis,Yes
CACA,Scaridae,Calotomus carolinus,Yes
CACE,Caesionidae,Caesio caerulaurea,Yes
CADU,Monacanthidae,Cantherhines dumerilii,Yes
CAFE,Carangidae,Carangoides ferdau,Yes
CAGA,Carcharhinidae,Carcharhinus galapagensis,Yes
CAIG,Carangidae,Caranx ignobilis,Yes
CAJN,Tetraodontidae,Canthigaster janthinoptera,Yes
CALU,Carangidae,Caranx lugubris,Yes
CAMC,Caracanthidae,Caracanthus maculatus,Yes
CAME,Carangidae,Caranx melampygus,Yes
CAML,Carcharhinidae,Carcharhinus melanopterus,Yes
CAOR,Carangidae,Carangoides orthogrammus,Yes
CAPA,Monacanthidae,Cantherhines pardalis,Yes
CARD,Apogonidae,Apogonidae sp,Yes
CASE,Carangidae,Caranx sexfasciatus,Yes
CASO,Tetraodontidae,Canthigaster solandri,Yes
CASP,Carangidae,Caranx sp,Yes
CATE,Caesionidae,Caesio teres,Yes
CEAR,Serranidae,Cephalopholis argus,Yes
CEFI,Pomacanthidae,Centropyge fisheri,Yes
CEFL,Pomacanthidae,Centropyge flavissima,Yes
CELE,Serranidae,Cephalopholis leopardus,Yes
CELO,Pomacanthidae,Centropyge loricula,Yes
CEMI,Serranidae,Cephalopholis miniata,Yes
CEPP,Pomacanthidae,Centropyge sp,Yes
CESS,Serranidae,Cephalopholis sp,Yes
CESX,Serranidae,Cephalopholis sexmaculata,Yes
CEUR,Serranidae,Cephalopholis urodeta,Yes
CHAC,Pomacentridae,Chromis acares,Yes
CHAG,Pomacentridae,Chromis agilis,Yes
CHAU,Chaetodontidae,Chaetodon auriga,Yes
CHBE,Chaetodontidae,Chaetodon bennetti,Yes
CHBI,Pomacentridae,Chrysiptera biocellata,Yes
CHCH,Chanidae,Chanos chanos,Yes
CHCI,Chaetodontidae,Chaetodon citrinellus,Yes
CHDE,Chaetodontidae,Chaetodon declivis,Yes
CHEI,Labridae,Cheilinus sp.,Yes
CHEP,Chaetodontidae,Chaetodon ephippium,Yes
CHFL,Chaetodontidae,Chaetodon flavocoronatus,Yes
CHFN,Scaridae,Chlorurus frontalis,Yes
CHGL,Pomacentridae,Chrysiptera glauca,Yes
CHKL,Chaetodontidae,Chaetodon kleinii,Yes
CHLE,Pomacentridae,Chromis lepidolepis,Yes
CHLI,Chaetodontidae,Chaetodon lineolatus,Yes
CHLT,Chaetodontidae,Chaetodon lunulatus,Yes
CHLU,Chaetodontidae,Chaetodon lunula,Yes
CHMA,Pomacentridae,Chromis margaritifer,Yes
CHMC,Scaridae,Chlorurus microrhinos,Yes
CHME,Chaetodontidae,Chaetodon meyeri,Yes
CHOR,Chaetodontidae,Chaetodon ornatissimus,Yes
CHOX,Labridae,Cheilinus oxycephalus,Yes
CHPU,Chaetodontidae,Chaetodon punctatofasciatus,Yes
CHQN,Apogonidae,Cheilodipterus quinquelineatus,Yes
CHQU,Chaetodontidae,Chaetodon quadrimaculatus,Yes
CHRE,Chaetodontidae,Chaetodon reticulatus,Yes
CHSE,Chaetodontidae,Chaetodon semeion,Yes
CHSO,Scaridae,Chlorurus sordidus,Yes
CHSP,Apogonidae,Cheilodipterus sp,Yes
CHTE,Pomacentridae,Chromis ternatensis,Yes
CHTL,Labridae,Cheilinus trilobatus,Yes
CHTR,Chaetodontidae,Chaetodon trifascialis,Yes
CHUB,Kyphosidae,Kyphosidae sp,Yes
CHUD,Labridae,Cheilinus undulatus,Yes
CHUL,Chaetodontidae,Chaetodon ulietensis,Yes
CHUN,Chaetodontidae,Chaetodon unimaculatus,Yes
CHVA,Pomacentridae,Chromis vanderbilti,Yes
CHVG,Chaetodontidae,Chaetodon vagabundus,Yes
CHVR,Pomacentridae,Chromis viridis,Yes
CHXA,Pomacentridae,Chromis xanthura,Yes
CIEX,Labridae,Cirrhilabrus exquisitus,Yes
CIHU,Cirrhitidae,Cirrhitops hubbardi,Yes
CILB,Labridae,Cirrhilabrus sp,Yes
CIOX,Cirrhitidae,Cirrhitichthys oxycephalus,Yes
CIPI,Cirrhitidae,Cirrhitus pinnulatus,Yes
CIPO,Blenniidae,Cirripectes polyzona,Yes
CISP,Blenniidae,Cirripectes sp,Yes
CIVR,Blenniidae,Cirripectes variolosus,Yes
CLSP,Scaridae,Chlorurus sp,Yes
COAY,Labridae,Coris aygula,Yes
COCE,Labridae,Coris centralis,Yes
COCI,Congridae,Conger cinereus,Yes
COGA,Labridae,Coris gaimard,Yes
CONG,Congridae,Congridae sp,Yes
CORO,Fistulariidae,Fistulariidae sp,Yes
CTCY,Acanthuridae,Ctenochaetus cyanocheilus,Yes
CTFL,Acanthuridae,Ctenochaetus flavicauda,Yes
CTHA,Acanthuridae,Ctenochaetus hawaiiensis,Yes
CTMA,Acanthuridae,Ctenochaetus marginatus,Yes
CTSP,Acanthuridae,Ctenochaetus sp,Yes
CTSR,Acanthuridae,Ctenochaetus striatus,Yes
DAAR,Pomacentridae,Dascyllus aruanus,Yes
DAAU,Pomacentridae,Dascyllus auripinnis,Yes
DAMS,Pomacentridae,Pomacentridae sp,Yes
DART,Microdesmidae,Microdesmidae sp,Yes
DEBI,Scorpaenidae,Dendrochirus biocellatus,Yes
DEMA,Carangidae,Decapterus macarellus,Yes
DIHY,Diodontidae,Diodon hystrix,Yes
DOLP,Delphinidae,Delphinidae sp,Yes
DRAG,Callionymidae,Callionymidae sp,Yes
ECMI,Blenniidae,Ecsenius midas,Yes
ECNE,Muraenidae,Echidna nebulosa,Yes
ELBI,Carangidae,Elagatis bipinnulata,Yes
EMPE,Lethrinidae,Lethrinidae sp,Yes
ENSP,Tripterygiidae,Enneapterygius sp,Yes
