fad_number,year_found
2009-1,2009
2010-1,2010
2010-2,2010
2010-3,2010
2011-1,2011
2011-2,2011
2012-1,2012
2012-2,2012
2014-01,2014
2014-2,2014
2015-01,2015
2016-01,2016
2016-02,2016
2016-03,2016
2016-04,2016
2016-05,2016
2016-06,2016
2016-07,2016
2016-08,2016
2016-09,2016
2016-10,2016
2016-11,2016
2016-12,2016
2017-01,2017
2017-2,2017
2018-1,2018
2018-2,2018
2019-1,2019
2019-10,2019
2019-11,2019
2019-13,2019
2019-3,2019
2019-4,2019
2019-5,2019
2019-6,2019
2019-7,2019
2019-8,2019
2019-9,2019
2020-1,2020
2020-2,2020
2020-3,2020
2020-4,2020
2020-5,2020
2020-6,2020
2020-7,2020
2020-8,2020
2020-9,2020
