FAD Accession Number,Date Found   ,Location Found on Palmyra Atoll,"x (Lon, Easting)","y (Lat, Northing)",Distingushing Features,Serial Number,Notes,Contacted manufacturer/ company regarding serial number,KF notes about map placement,
2009-1,6/3/09,"Downeast flat, between Holei and Dadu Islands on inner reef crest flat                       ",-162.05666667000,5.86972222000,"6' x 8' black netting, large bamboo frame raft (lashed with yellow rope) with net pouch underneath the raft containing a green ~20 gallon plastic drum with holes drilled in it to slow the drift. ",No serial number recorded but letters on the dome read 'UGAV1' in red paint,~50' of black netting wrapped up on live coral under the raft. All netting carefully removed and entire FAD taken back using a lagoon boat. MI type locator beacon with very high clear dome and a ~6' whip antenna protruding from the top. ,no,Good,
2010-1,4/24/10,60' water forereef outside Paradise Island- south shore                 ,-162.08805556000,5.86750000000,4'x6' black netting raft with bamboo frame and black twine. 6 yellow purse seine floats inside frame,N/A,"No locator beacon attached but ~60' of netting panels with 1"" steel multi strangd wire as weight to keep the panels open and down in the water column",no,Check - too far out?,
2010-2,10/21/10,110' water forereef outside Home Island- south shore                 ,-162.10138889000,5.86472222000,8'x 8' black netting raft with trailing neeting hung up down past 110' of water offshore. Netting scuba dived on and retreived off the coral. No locator beacon information ,White paint on top of the dome- YY MD5 52437 ,Black netting wrapped in a cylinder and all around live coral over about 200m along the bottom. All retreived with netting and raft brought on to resuce vessel 'Malolo',no,Check - too far out?,
2010-3,11/29/10,Coral rubble flat between Holei and Dadu island-south shore                ,-162.05305556000,5.86861111000,"8'x 8' black netting, bamboo frame raft with 9 yellow PS floats and MI locator beacon. ~30' of trailing black netting hung up in live coral inside reef crest",Pink paint on dome with '31' on one side and '40676' on the other,"No beacon serial number recorded. Raft, beacon and netting removed on lagoon boat ",no,Good,
2011-1,3/6/11,East side of Eastern Island            ,-162.05055556000,5.86722222000,"Black netting raft washed up on shore and half covered in coral rubble. Green twine, 1/2"" blue poly steel rope and yellow buoys inside. No locator beacon recovered",N/A,,no,Fix - Too far south…?,
2011-2,10/6/11,Flat outside Quail Island- north shore                 ,-162.05888889000,5.89138889000,"6'x8' black netting, bamboo frame raft with trailing netting hung up in the coral on the flat. Black locator beacon attached ",#13850 in white paint on top of buoy,"No beacon serial number recorded. 1/2"" rope used to bind netting on bamboo, FAD retreived in a lagoon boat and taken back to the dock",no,Good,
2012-1,9/9/12,Beached on south side of Kaula Island- south shore                ,-162.08472222000,5.87388889000,"6' x 8' black netting, bamboo frame raft with 6 yellow PS floats underneath, no locator beacon, washed up on the beach upside down with no trailing netting. 2 FADs beached 30m apart almost identical",N/A,"2 rafts very close together on the beach at the high tide level, intact but filled with coral rubble. One under a tree and the other in the open",no,Good,
2012-2,9/9/12,Beached on south side of Kaula Island- south shore                 ,-162.08472222000,5.87388889000,"6' x 8' black netting, bamboo frame raft with 6 yellow PS floats underneath, no locator beacon, washed up on the beach upside down with no trailing netting. 2 FADs beached 30m apart almost identical",N/A,"2 rafts very close together on the beach at the high tide level, intact but filled with coral rubble. One under a tree and the other in the open",no,Good,
2014-01,7/1/14,not recorded,,,"Tunabal-7, marked in red writing",Marked A. Victor,,no,Not mapped,
2014-2,9/29/14,90' water forereef outside Home Island- south shore          ,-162.09611111000,5.86527778000,"6'x8' Bamboo frame raft with bright green twine securing the black netting on the bamboo frame. Netting hung up on reef, pulled off and retreived into vessel",N/A,No locator beacon attached but trailing black rope with small blue float what beacon used to be connected,no,Check,
2015-01,1/2/15,between Papala and Pelican Island                            ,-162.05916667000,5.87583333000,"marked in black writing ""BB725850""",DSL+72585,FAD Not removed from the beach as covered in coral rubble,no,Good,
2016-01,4/1/16,West end of runway beach          ,-162.00055556000,5.89277778000,Bamboo and black netting on beach wrapped in tree branches,N/A,destroyed,no,Fix - WAAAY too far east,
2016-02,6/26/16,Beach at the end of runway                   ,-162.06888889000,5.88944444000,blue rope around FAD,DSL+69677,"green dot on dome, similar to NR-1",no,Fix -…. On causeway??,
2016-03,7/4/16,Strawn North Beach,,,tall cylinder with large antenna,"antenna marked C50 1920kHz-2000kHz, also marked SV-S3, SV-CS3 (a type of antenna produced by Ryokusei",,no,Fix - Not mapped (need coordinates),
2016-04,7/5/16,halfway between north beach and runway end                   ,-162.07472222000,5.89250000000,buoy marked KATO-800D,"KL080N, inside hood marked Skywave-DMR-800D, made in Singapore (asset tracking device)",Kato is a large marine device company based in Taiwan,yes,Check,
2016-05,7/6/16,East Lagoon,,,"black, rectangular float",,location no longer known-- floating,no,Not mapped,
2016-06,not recorded,not recorded,,,"grey body, pink writing on top",DSL+58649,"green dot on dome, similar to 2016-1; found in camp",no,Good,
2016-07,6/3/16,north beach                 ,-162.08555556000,5.88916667000,"green body, black handles","M3I-172216, dome labeled V70512",,no,Good,
2016-08,not recorded ,not recorded,,,"orange writing on dome: ""265 FK 889","265 FK 889, inside dome: Tunabal-7 T07030144450, Zunibal EU only","Zunibal creates buoys for ""efficient and sustainable tuna fishing""; found in camp",no,Not mapped,
2016-09,not recorded,not recorded,,,light blue rope attached to handles,"Ryokusei housing, L-3 written on top, serial label missing",Ryokusei is a Japan-based marine device manufacturing company; found in camp,no,Not mapped,
