obs_id,date,year,avg_temp,day_wk,wk
1,1998-01-01,1998,27.6,TH,1
2,1998-01-02,1998,27.45,F,1
3,1998-01-03,1998,27.6,SA,1
4,1998-01-04,1998,27.75,SU,2
5,1998-01-05,1998,27.75,M,2
6,1998-01-06,1998,27.9,T,2
7,1998-01-07,1998,28.05,W,2
8,1998-01-08,1998,28.05,TH,2
9,1998-01-09,1998,28.05,F,2
10,1998-01-10,1998,28.05,SA,2
11,1998-01-11,1998,28.35,SU,3
12,1998-01-12,1998,28.35,M,3
13,1998-01-13,1998,28.65,T,3
14,1998-01-14,1998,28.5,W,3
15,1998-01-15,1998,28.05,TH,3
16,1998-01-16,1998,28.2,F,3
17,1998-01-17,1998,28.2,SA,3
18,1998-01-18,1998,28.05,SU,4
19,1998-01-19,1998,27.9,M,4
20,1998-01-20,1998,27.75,T,4
21,1998-01-21,1998,28.05,W,4
22,1998-01-22,1998,28.05,TH,4
23,1998-01-23,1998,27.75,F,4
24,1998-01-24,1998,28.05,SA,4
25,1998-01-25,1998,28.5,SU,5
26,1998-01-26,1998,28.5,M,5
27,1998-01-27,1998,28.65,T,5
28,1998-01-28,1998,28.35,W,5
29,1998-01-29,1998,28.65,TH,5
30,1998-01-30,1998,28.65,F,5
31,1998-01-31,1998,28.5,SA,5
32,1998-02-01,1998,28.2,SU,6
33,1998-02-02,1998,27.9,M,6
34,1998-02-03,1998,27.9,T,6
35,1998-02-04,1998,28.2,W,6
36,1998-02-05,1998,28.35,TH,6
37,1998-02-06,1998,28.2,F,6
38,1998-02-07,1998,28.2,SA,6
39,1998-02-08,1998,28.05,SU,7
40,1998-02-09,1998,28.05,M,7
41,1998-02-10,1998,28.05,T,7
42,1998-02-11,1998,28.5,W,7
43,1998-02-12,1998,28.35,TH,7
44,1998-02-13,1998,28.5,F,7
45,1998-02-14,1998,28.2,SA,7
46,1998-02-15,1998,27.9,SU,8
47,1998-02-16,1998,27.6,M,8
48,1998-02-17,1998,27.9,T,8
49,1998-02-18,1998,27.75,W,8
50,1998-02-19,1998,27.45,TH,8
51,1998-02-20,1998,27.75,F,8
52,1998-02-21,1998,28.05,SA,8
53,1998-02-22,1998,28.05,SU,9
54,1998-02-23,1998,27.9,M,9
55,1998-02-24,1998,28.05,T,9
56,1998-02-25,1998,27.9,W,9
57,1998-02-26,1998,27.9,TH,9
58,1998-02-27,1998,28.2,F,9
59,1998-02-28,1998,28.2,SA,9
60,1998-03-01,1998,28.2,SU,10
61,1998-03-02,1998,28.35,M,10
62,1998-03-03,1998,28.35,T,10
63,1998-03-04,1998,28.35,W,10
64,1998-03-05,1998,28.35,TH,10
65,1998-03-06,1998,28.2,F,10
66,1998-03-07,1998,28.2,SA,10
67,1998-03-08,1998,28.2,SU,11
68,1998-03-09,1998,28.05,M,11
69,1998-03-10,1998,28.65,T,11
70,1998-03-11,1998,28.5,W,11
71,1998-03-12,1998,28.5,TH,11
72,1998-03-13,1998,28.35,F,11
73,1998-03-14,1998,28.2,SA,11
74,1998-03-15,1998,28.35,SU,12
75,1998-03-16,1998,28.35,M,12
76,1998-03-17,1998,28.35,T,12
77,1998-03-18,1998,28.35,W,12
78,1998-03-19,1998,28.35,TH,12
79,1998-03-20,1998,28.2,F,12
80,1998-03-21,1998,28.35,SA,12
81,1998-03-22,1998,28.2,SU,13
82,1998-03-23,1998,28.05,M,13
83,1998-03-24,1998,27.9,T,13
84,1998-03-25,1998,27.9,W,13
85,1998-03-26,1998,27.75,TH,13
86,1998-03-27,1998,27.75,F,13
87,1998-03-28,1998,27.75,SA,13
88,1998-03-29,1998,27.9,SU,14
89,1998-03-30,1998,28.05,M,14
90,1998-03-31,1998,28.05,T,14
91,1998-04-01,1998,28.05,W,14
92,1998-04-02,1998,27.9,TH,14
93,1998-04-03,1998,27.75,F,14
94,1998-04-04,1998,27.75,SA,14
95,1998-04-05,1998,27.75,SU,15
96,1998-04-06,1998,27.6,M,15
97,1998-04-07,1998,27.75,T,15
98,1998-04-08,1998,27.9,W,15
99,1998-04-09,1998,27.75,TH,15
100,1998-04-10,1998,27.9,F,15
101,1998-04-11,1998,27.9,SA,15
102,1998-04-12,1998,27.9,SU,16
103,1998-04-13,1998,27.75,M,16
104,1998-04-14,1998,27.75,T,16
105,1998-04-15,1998,27.9,W,16
106,1998-04-16,1998,27.9,TH,16
107,1998-04-17,1998,27.6,F,16
108,1998-04-18,1998,27.9,SA,16
109,1998-04-19,1998,27.6,SU,17
110,1998-04-20,1998,27.6,M,17
111,1998-04-21,1998,27.9,T,17
112,1998-04-22,1998,28.5,W,17
113,1998-04-23,1998,28.05,TH,17
114,1998-04-24,1998,28.5,F,17
115,1998-04-25,1998,28.35,SA,17
116,1998-04-26,1998,28.2,SU,18
