title,year_published
"Wegman, A., Stansbury, R., Alifano, Al, Oberg, E., Pott, M., McClelland, P. and Howald., D. Rats to palm trees: baiting the canopy during the Palmyra Atoll rat eradication project. Proceedings 26th Vertebrae Pest Conference, 2014",2014
"Gardner, J.P., R.J. Bartz, R.E. Brainard, J.D. Collen, R.B. Dunbar, D.W. Garton and S. Powell 2014 Marine Pollution Bulletin Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study",2019
"Handler, A. and James, S.  Anguilla marmorata (Giant Mottled Eel) Discovered in a New Location: Natural Range Expansion or Recent Human Introduction? 2006 Pacific Science",2006
"Wester, L., Juvik, J.O., Holthus, P.  Vegetation History of WashingtonIsland (Teraina), Northern Islands. 1992, Atoll Research Bulletin No. 358",1992
"F. Elmer, J. S. Rogers, R. B. Dunbar, S. G. Monismith, J J. Bell, P.A. Gardner (2016) Influence of localised currents, benthic community cover and composition on coral recruitment: integrating fieldbased observations and physical oceanographic modelling. Proceedings of the 13th International Coral Reef Symposium, Honolulu: 101-142 {PARC-0128}",2016
"Pott, M., A. S. Wegmann, R. Griffiths, A. Samaniego-Herrera, R. J. Cuthbert, M. d. L. Brooke, W. C. Pitt, A. R. Berentsen, N. D. Holmes, G. R. Howald, K. Ramos-Rendón, and J. C. Russell. 2015. Improving the odds: Assessing bait availability before rodent eradications to aid in selecting bait application rates. Biological Conservation 185:27-35. {PARC-0137}",2015
"Pitt, W. C., A. R. Berentsen, A. B. Shiels, S. F. Volker, J. D. Eisemann, A. S. Wegmann, and G. R. Howald. 2015. Non-target species mortality and the measurement of brodifacoum rodenticide residues after a rat (Rattus rattus) eradication on Palmyra Atoll, tropical Pacific. Biological Conservation 185:36-46. {PARC-0138}",2015
"Wegmann, A., E. Flint, S. White, M. Fox, G. Howald, P. McClelland, A. Alifano, and R. Griffiths. 2012. Pushing the envelope in paradise: A novel approach to rat eradication at Palmyra Atoll. Pages 48-53 in Proc. 25th Vertebrate Pest Conference. University of California, Davis. {PaRC-0140}",2012
"Cobb, K.M., C.D. Charles, H. Cheng and R.L. Edwards 2003. El Niño-Southern Oscillation and tropical Pacific climate during the last millennium. Nature 424: 271-276. {PARC-0001}",2003
"Cobb, K.M., C.D. Charles, H. Cheng, M. Kastnew and R.L. Edwards 2003. U/Th-dating living and young fossil corals from the central tropical Pacific. Earth and Planetary Science Letters 210 (1-2): 91-103 {PARC-0002}",2002
"Smith, J.E., M. Shaw, R.A. Edwards, D. Obura, O. Pantos, E. Sala, S.A. Sandin, S. Smriga, M. Hatay and F.L. Rohwer 2006. Indirect effects of algae on coral: algae-mediated, microbe-induced coral mortality. Ecology Letters 9:835-845. {PARC-0003}",2006
"Dalebout, M.L., C.S. Baker, D. Steel, K.M. Robertson, S.J. Chivers, W.F. Perrin, J.G. Mead, R.V.  Grace and T.D. Schofield 2007. A divergent mtDNA lineage among Mesoplodon beaked whales: Molecular evidence for a new species in the tropical Pacific? Marine Mammal Science 23: 954-966. {PARC-0004}",2007
