year,iucn_sid,cat,cat_txt,cat_score,eval_yr
2000,2811,LC,Least Concern,0,1996
2000,4292,VU,Vulnerable,0.4,2000
2000,4592,VU,Vulnerable,0.4,1996
2000,4615,LC,Least Concern,0,1996
2000,13006,VU,Vulnerable,0.4,1996
2000,16564,LC,Lower Risk/least concern,0,1996
2000,20733,CD,Lower Risk/conservation dependent,0.3,1996
2000,22137,VU,Vulnerable,0.4,1996
2000,39341,NT,Lower Risk/near threatened,0.2,2000
2000,39378,LC,Least Concern,0,2000
2000,39381,NT,Lower Risk/near threatened,0.2,2000
2000,41714,NA,NA,NA,NA
2000,22693182,VU,Vulnerable,0.4,2000
2000,22693305,LC,Lower Risk/least concern,0,2000
2000,22693336,LC,Lower Risk/least concern,0,2000
2000,22693735,LC,Lower Risk/least concern,0,2000
2000,22694740,LC,Lower Risk/least concern,0,2000
2000,22694794,LC,Lower Risk/least concern,0,2000
2000,22694799,LC,Lower Risk/least concern,0,2000
2000,22696694,LC,Lower Risk/least concern,0,2000
2000,22696698,LC,Lower Risk/least concern,0,2000
2000,22697733,LC,Lower Risk/least concern,0,2000
2000,22736173,NA,NA,NA,NA
2001,2811,LC,Least Concern,0,1996
2001,4292,VU,Vulnerable,0.4,2000
2001,4592,VU,Vulnerable,0.4,1996
2001,4615,LC,Least Concern,0,1996
2001,13006,VU,Vulnerable,0.4,1996
2001,16564,LC,Lower Risk/least concern,0,1996
2001,20733,CD,Lower Risk/conservation dependent,0.3,1996
2001,22137,VU,Vulnerable,0.4,1996
2001,39341,NT,Lower Risk/near threatened,0.2,2000
2001,39378,LC,Least Concern,0,2000
2001,39381,NT,Lower Risk/near threatened,0.2,2000
2001,41714,NA,NA,NA,NA
2001,22693182,VU,Vulnerable,0.4,2000
2001,22693305,LC,Lower Risk/least concern,0,2000
2001,22693336,LC,Lower Risk/least concern,0,2000
2001,22693735,LC,Lower Risk/least concern,0,2000
2001,22694740,LC,Lower Risk/least concern,0,2000
2001,22694794,LC,Lower Risk/least concern,0,2000
2001,22694799,LC,Lower Risk/least concern,0,2000
2001,22696694,LC,Lower Risk/least concern,0,2000
2001,22696698,LC,Lower Risk/least concern,0,2000
2001,22697733,LC,Lower Risk/least concern,0,2000
2001,22736173,NA,NA,NA,NA
2002,2811,LC,Least Concern,0,1996
2002,4292,VU,Vulnerable,0.4,2000
2002,4592,VU,Vulnerable,0.4,1996
2002,4615,LC,Least Concern,0,1996
2002,13006,VU,Vulnerable,0.4,1996
2002,16564,LC,Lower Risk/least concern,0,1996
2002,20733,CD,Lower Risk/conservation dependent,0.3,1996
2002,22137,VU,Vulnerable,0.4,1996
2002,39341,NT,Lower Risk/near threatened,0.2,2000
2002,39378,LC,Least Concern,0,2000
2002,39381,NT,Lower Risk/near threatened,0.2,2000
2002,41714,NA,NA,NA,NA
2002,22693182,VU,Vulnerable,0.4,2000
2002,22693305,LC,Lower Risk/least concern,0,2000
2002,22693336,LC,Lower Risk/least concern,0,2000
2002,22693735,LC,Lower Risk/least concern,0,2000
2002,22694740,LC,Lower Risk/least concern,0,2000
2002,22694794,LC,Lower Risk/least concern,0,2000
2002,22694799,LC,Lower Risk/least concern,0,2000
2002,22696694,LC,Lower Risk/least concern,0,2000
2002,22696698,LC,Lower Risk/least concern,0,2000
2002,22697733,LC,Lower Risk/least concern,0,2000
2002,22736173,NA,NA,NA,NA
2003,2811,LC,Least Concern,0,1996
2003,4292,VU,Vulnerable,0.4,2000
2003,4592,VU,Vulnerable,0.4,1996
2003,4615,LC,Least Concern,0,1996
2003,13006,VU,Vulnerable,0.4,1996
2003,16564,LC,Lower Risk/least concern,0,1996
