rgn_id,iucn_sid,sciname,year,category,cat_score
1,2811,Birgus latro,2000,LC,0
1,4292,Cetorhinus maximus,2000,VU,0.4
1,4592,Cheilinus undulatus,2000,VU,0.4
1,4615,Chelonia mydas,2000,LC,0
1,13006,Megaptera novaeangliae,2000,VU,0.4
1,16564,Peponocephala electra,2000,LC,0
1,20733,Stenella longirostris,2000,CD,0.3
1,22137,Tridacna gigas,2000,VU,0.4
1,39341,Isurus oxyrinchus,2000,NT,0.2
1,39378,Galeocerdo cuvier,2000,LC,0
1,39381,Prionace glauca,2000,NT,0.2
1,41714,Tursiops aduncus,2000,NA,NA
1,22693182,Numenius tahitiensis,2000,VU,0.4
1,22693305,Heteroscelus incanus,2000,LC,0
1,22693336,Arenaria interpres,2000,LC,0
1,22693735,Pluvialis fulva,2000,LC,0
1,22694740,Onychoprion fuscata,2000,LC,0
1,22694794,Anous stolidus,2000,LC,0
1,22694799,Anous minutus,2000,LC,0
1,22696694,Sula sula,2000,LC,0
1,22696698,Sula leucogaster,2000,LC,0
1,22697733,Fregata minor,2000,LC,0
1,22736173,Sula dactylatra,2000,NA,NA
1,2811,Birgus latro,2001,LC,0
1,4292,Cetorhinus maximus,2001,VU,0.4
1,4592,Cheilinus undulatus,2001,VU,0.4
1,4615,Chelonia mydas,2001,LC,0
1,13006,Megaptera novaeangliae,2001,VU,0.4
1,16564,Peponocephala electra,2001,LC,0
1,20733,Stenella longirostris,2001,CD,0.3
1,22137,Tridacna gigas,2001,VU,0.4
1,39341,Isurus oxyrinchus,2001,NT,0.2
1,39378,Galeocerdo cuvier,2001,LC,0
1,39381,Prionace glauca,2001,NT,0.2
1,41714,Tursiops aduncus,2001,NA,NA
1,22693182,Numenius tahitiensis,2001,VU,0.4
1,22693305,Heteroscelus incanus,2001,LC,0
1,22693336,Arenaria interpres,2001,LC,0
1,22693735,Pluvialis fulva,2001,LC,0
1,22694740,Onychoprion fuscata,2001,LC,0
1,22694794,Anous stolidus,2001,LC,0
1,22694799,Anous minutus,2001,LC,0
1,22696694,Sula sula,2001,LC,0
1,22696698,Sula leucogaster,2001,LC,0
1,22697733,Fregata minor,2001,LC,0
1,22736173,Sula dactylatra,2001,NA,NA
1,2811,Birgus latro,2002,LC,0
1,4292,Cetorhinus maximus,2002,VU,0.4
1,4592,Cheilinus undulatus,2002,VU,0.4
1,4615,Chelonia mydas,2002,LC,0
1,13006,Megaptera novaeangliae,2002,VU,0.4
1,16564,Peponocephala electra,2002,LC,0
1,20733,Stenella longirostris,2002,CD,0.3
1,22137,Tridacna gigas,2002,VU,0.4
1,39341,Isurus oxyrinchus,2002,NT,0.2
1,39378,Galeocerdo cuvier,2002,LC,0
1,39381,Prionace glauca,2002,NT,0.2
1,41714,Tursiops aduncus,2002,NA,NA
1,22693182,Numenius tahitiensis,2002,VU,0.4
1,22693305,Heteroscelus incanus,2002,LC,0
1,22693336,Arenaria interpres,2002,LC,0
1,22693735,Pluvialis fulva,2002,LC,0
1,22694740,Onychoprion fuscata,2002,LC,0
1,22694794,Anous stolidus,2002,LC,0
1,22694799,Anous minutus,2002,LC,0
1,22696694,Sula sula,2002,LC,0
1,22696698,Sula leucogaster,2002,LC,0
1,22697733,Fregata minor,2002,LC,0
1,22736173,Sula dactylatra,2002,NA,NA
1,2811,Birgus latro,2003,LC,0
1,4292,Cetorhinus maximus,2003,VU,0.4
1,4592,Cheilinus undulatus,2003,VU,0.4
1,4615,Chelonia mydas,2003,LC,0
1,13006,Megaptera novaeangliae,2003,VU,0.4
1,16564,Peponocephala electra,2003,LC,0
1,20733,Stenella longirostris,2003,CD,0.3
1,22137,Tridacna gigas,2003,VU,0.4
1,39341,Isurus oxyrinchus,2003,NT,0.2
1,39378,Galeocerdo cuvier,2003,LC,0
1,39381,Prionace glauca,2003,NT,0.2
1,41714,Tursiops aduncus,2003,NA,NA
1,22693182,Numenius tahitiensis,2003,VU,0.4
1,22693305,Heteroscelus incanus,2003,LC,0
1,22693336,Arenaria interpres,2003,LC,0
1,22693735,Pluvialis fulva,2003,LC,0
1,22694740,Onychoprion fuscata,2003,LC,0
1,22694794,Anous stolidus,2003,LC,0
1,22694799,Anous minutus,2003,LC,0
1,22696694,Sula sula,2003,LC,0
1,22696698,Sula leucogaster,2003,LC,0
1,22697733,Fregata minor,2003,LC,0
1,22736173,Sula dactylatra,2003,NA,NA
1,2811,Birgus latro,2004,LC,0
1,4292,Cetorhinus maximus,2004,VU,0.4
1,4592,Cheilinus undulatus,2004,EN,0.6
1,4615,Chelonia mydas,2004,LC,0
1,13006,Megaptera novaeangliae,2004,VU,0.4
1,16564,Peponocephala electra,2004,LC,0
1,20733,Stenella longirostris,2004,CD,0.3
1,22137,Tridacna gigas,2004,VU,0.4
1,39341,Isurus oxyrinchus,2004,NT,0.2
1,39378,Galeocerdo cuvier,2004,LC,0
1,39381,Prionace glauca,2004,NT,0.2
1,41714,Tursiops aduncus,2004,NA,NA
1,22693182,Numenius tahitiensis,2004,VU,0.4
1,22693305,Heteroscelus incanus,2004,LC,0
1,22693336,Arenaria interpres,2004,LC,0
1,22693735,Pluvialis fulva,2004,LC,0
1,22694740,Onychoprion fuscata,2004,LC,0
1,22694794,Anous stolidus,2004,LC,0
1,22694799,Anous minutus,2004,LC,0
1,22696694,Sula sula,2004,LC,0
1,22696698,Sula leucogaster,2004,LC,0
1,22697733,Fregata minor,2004,LC,0
1,22736173,Sula dactylatra,2004,NA,NA
1,2811,Birgus latro,2005,LC,0
1,4292,Cetorhinus maximus,2005,VU,0.4
1,4592,Cheilinus undulatus,2005,EN,0.6
1,4615,Chelonia mydas,2005,LC,0
1,13006,Megaptera novaeangliae,2005,VU,0.4
1,16564,Peponocephala electra,2005,LC,0
1,20733,Stenella longirostris,2005,CD,0.3
1,22137,Tridacna gigas,2005,VU,0.4
1,39341,Isurus oxyrinchus,2005,NT,0.2
1,39378,Galeocerdo cuvier,2005,LC,0
1,39381,Prionace glauca,2005,NT,0.2
1,41714,Tursiops aduncus,2005,NA,NA
1,22693182,Numenius tahitiensis,2005,VU,0.4
1,22693305,Heteroscelus incanus,2005,LC,0
1,22693336,Arenaria interpres,2005,LC,0
1,22693735,Pluvialis fulva,2005,LC,0
1,22694740,Onychoprion fuscata,2005,LC,0
1,22694794,Anous stolidus,2005,LC,0
1,22694799,Anous minutus,2005,LC,0
1,22696694,Sula sula,2005,LC,0
1,22696698,Sula leucogaster,2005,LC,0
1,22697733,Fregata minor,2005,LC,0
1,22736173,Sula dactylatra,2005,NA,NA
1,2811,Birgus latro,2006,LC,0
1,4292,Cetorhinus maximus,2006,VU,0.4
1,4592,Cheilinus undulatus,2006,EN,0.6
1,4615,Chelonia mydas,2006,LC,0
1,13006,Megaptera novaeangliae,2006,VU,0.4
1,16564,Peponocephala electra,2006,LC,0
1,20733,Stenella longirostris,2006,CD,0.3
1,22137,Tridacna gigas,2006,VU,0.4
1,39341,Isurus oxyrinchus,2006,NT,0.2
1,39378,Galeocerdo cuvier,2006,LC,0
1,39381,Prionace glauca,2006,NT,0.2
1,41714,Tursiops aduncus,2006,NA,NA
1,22693182,Numenius tahitiensis,2006,VU,0.4
1,22693305,Heteroscelus incanus,2006,LC,0
1,22693336,Arenaria interpres,2006,LC,0
1,22693735,Pluvialis fulva,2006,LC,0
1,22694740,Onychoprion fuscata,2006,LC,0
1,22694794,Anous stolidus,2006,LC,0
1,22694799,Anous minutus,2006,LC,0
1,22696694,Sula sula,2006,LC,0
1,22696698,Sula leucogaster,2006,LC,0
1,22697733,Fregata minor,2006,LC,0
1,22736173,Sula dactylatra,2006,NA,NA
1,2811,Birgus latro,2007,LC,0
1,4292,Cetorhinus maximus,2007,VU,0.4
1,4592,Cheilinus undulatus,2007,EN,0.6
1,4615,Chelonia mydas,2007,LC,0
1,13006,Megaptera novaeangliae,2007,VU,0.4
1,16564,Peponocephala electra,2007,LC,0
1,20733,Stenella longirostris,2007,CD,0.3
1,22137,Tridacna gigas,2007,VU,0.4
1,39341,Isurus oxyrinchus,2007,NT,0.2
1,39378,Galeocerdo cuvier,2007,LC,0
1,39381,Prionace glauca,2007,NT,0.2
1,41714,Tursiops aduncus,2007,NA,NA
1,22693182,Numenius tahitiensis,2007,VU,0.4
1,22693305,Heteroscelus incanus,2007,LC,0
1,22693336,Arenaria interpres,2007,LC,0
1,22693735,Pluvialis fulva,2007,LC,0
1,22694740,Onychoprion fuscata,2007,LC,0
1,22694794,Anous stolidus,2007,LC,0
1,22694799,Anous minutus,2007,LC,0
1,22696694,Sula sula,2007,LC,0
1,22696698,Sula leucogaster,2007,LC,0
1,22697733,Fregata minor,2007,LC,0
1,22736173,Sula dactylatra,2007,NA,NA
1,2811,Birgus latro,2008,LC,0
1,4292,Cetorhinus maximus,2008,VU,0.4
1,4592,Cheilinus undulatus,2008,EN,0.6
1,4615,Chelonia mydas,2008,LC,0
1,13006,Megaptera novaeangliae,2008,LC,0
1,16564,Peponocephala electra,2008,LC,0
1,20733,Stenella longirostris,2008,CD,0.3
1,22137,Tridacna gigas,2008,VU,0.4
1,39341,Isurus oxyrinchus,2008,NT,0.2
1,39378,Galeocerdo cuvier,2008,LC,0
1,39381,Prionace glauca,2008,NT,0.2
1,41714,Tursiops aduncus,2008,NA,NA
1,22693182,Numenius tahitiensis,2008,VU,0.4
1,22693305,Heteroscelus incanus,2008,LC,0
1,22693336,Arenaria interpres,2008,LC,0
1,22693735,Pluvialis fulva,2008,LC,0
1,22694740,Onychoprion fuscata,2008,LC,0
1,22694794,Anous stolidus,2008,LC,0
1,22694799,Anous minutus,2008,LC,0
1,22696694,Sula sula,2008,LC,0
1,22696698,Sula leucogaster,2008,LC,0
1,22697733,Fregata minor,2008,LC,0
1,22736173,Sula dactylatra,2008,NA,NA
1,2811,Birgus latro,2009,LC,0
1,4292,Cetorhinus maximus,2009,VU,0.4
1,4592,Cheilinus undulatus,2009,EN,0.6
1,4615,Chelonia mydas,2009,LC,0
1,13006,Megaptera novaeangliae,2009,LC,0
1,16564,Peponocephala electra,2009,LC,0
1,20733,Stenella longirostris,2009,CD,0.3
1,22137,Tridacna gigas,2009,VU,0.4
1,39341,Isurus oxyrinchus,2009,VU,0.4
1,39378,Galeocerdo cuvier,2009,LC,0
1,39381,Prionace glauca,2009,NT,0.2
1,41714,Tursiops aduncus,2009,NA,NA
1,22693182,Numenius tahitiensis,2009,VU,0.4
1,22693305,Heteroscelus incanus,2009,LC,0
1,22693336,Arenaria interpres,2009,LC,0
1,22693735,Pluvialis fulva,2009,LC,0
1,22694740,Onychoprion fuscata,2009,LC,0
1,22694794,Anous stolidus,2009,LC,0
1,22694799,Anous minutus,2009,LC,0
1,22696694,Sula sula,2009,LC,0
1,22696698,Sula leucogaster,2009,LC,0
1,22697733,Fregata minor,2009,LC,0
1,22736173,Sula dactylatra,2009,NA,NA
1,2811,Birgus latro,2010,LC,0
1,4292,Cetorhinus maximus,2010,VU,0.4
1,4592,Cheilinus undulatus,2010,EN,0.6
1,4615,Chelonia mydas,2010,LC,0
1,13006,Megaptera novaeangliae,2010,LC,0
1,16564,Peponocephala electra,2010,LC,0
1,20733,Stenella longirostris,2010,CD,0.3
1,22137,Tridacna gigas,2010,VU,0.4
1,39341,Isurus oxyrinchus,2010,VU,0.4
1,39378,Galeocerdo cuvier,2010,LC,0
1,39381,Prionace glauca,2010,NT,0.2
1,41714,Tursiops aduncus,2010,NA,NA
1,22693182,Numenius tahitiensis,2010,VU,0.4
1,22693305,Heteroscelus incanus,2010,LC,0
1,22693336,Arenaria interpres,2010,LC,0
1,22693735,Pluvialis fulva,2010,LC,0
1,22694740,Onychoprion fuscata,2010,LC,0
1,22694794,Anous stolidus,2010,LC,0
1,22694799,Anous minutus,2010,LC,0
1,22696694,Sula sula,2010,LC,0
1,22696698,Sula leucogaster,2010,LC,0
1,22697733,Fregata minor,2010,LC,0
