comname,sciname,ico_gl,ico_rgn_id
Brown booby,Sula leucogaster,FALSE,150
Masked booby,Sula dactylatra,FALSE,150
Red-footed booby,Sula sula,FALSE,150
Black noddy,Anous minutus,FALSE,150
Brown noddy,Anous stolidus,FALSE,150
Great frigatebird,Fregata minor,FALSE,150
Sooty tern,Onychoprion fuscata,FALSE,150
Bristle-thighed curlew,Numenius tahitiensis,FALSE,150
Pacific golden plover,Pluvialis fulva,FALSE,150
Wandering tattler,Heteroscelus incanus,FALSE,150
Ruddy ternstone,Arenaria interpres,FALSE,150
Pacific bottlenose dolphin,Tursiops aduncus,FALSE,150
Spinner dolphin,Stenella longirostris,FALSE,150
Melon-headed whales,Peponocephala electra,FALSE,150
Green turtle,Chelonia mydas,FALSE,150
Hawksbill turtle,Eretmochelys imbricata,FALSE,150
Giant clam,Tridacna gigas,FALSE,150
Coconut crab,Birgus latro,FALSE,150
