iucn_sid,kingdom,phylum,class,order,family,genus,sciname,population,category,subspecies,rank,subpopulation,country_code
4292,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,CETORHINIDAE,Cetorhinus,Cetorhinus maximus,NA,EN,NA,NA,NA,UM
4592,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Cheilinus,Cheilinus undulatus,NA,EN,NA,NA,NA,UM
4615,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Chelonia,Chelonia mydas,NA,EN,NA,NA,NA,UM
7858,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus lanceolatus,NA,DD,NA,NA,NA,UM
8407,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,PEGASIDAE,Eurypegasus,Eurypegasus draconis,NA,LC,NA,NA,NA,UM
9461,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Grampus,Grampus griseus,NA,LC,NA,NA,NA,UM
11140,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenodelphis,Lagenodelphis hosei,NA,LC,NA,NA,NA,UM
13006,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Megaptera,Megaptera novaeangliae,NA,LC,NA,NA,NA,UM
13244,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,Mesoplodon densirostris,NA,DD,NA,NA,NA,UM
13246,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,Mesoplodon ginkgodens,NA,DD,NA,NA,NA,UM
13654,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Neomonachus,Neomonachus schauinslandi,NA,EN,NA,NA,NA,UM
15421,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcinus,Orcinus orca,NA,DD,NA,NA,NA,UM
19330,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Rattus,Rattus exulans,NA,LC,NA,NA,NA,UM
20733,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,Stenella longirostris,NA,LC,NA,NA,NA,UM
21856,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Thunnus,Thunnus alalunga,NA,NT,NA,NA,NA,UM
21857,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Thunnus,Thunnus albacares,NA,NT,NA,NA,NA,UM
21859,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Thunnus,Thunnus obesus,NA,VU,NA,NA,NA,UM
22138,ANIMALIA,MOLLUSCA,BIVALVIA,CARDIIDA,CARDIIDAE,Tridacna,Tridacna maxima,NA,LR/cd,NA,NA,NA,UM
23148,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,XIPHIIDAE,Xiphias,Xiphias gladius,NA,LC,NA,NA,NA,UM
39337,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,PSEUDOCARCHARIIDAE,Pseudocarcharias,Pseudocarcharias kamoharai,NA,LC,NA,NA,NA,UM
39341,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Isurus,Isurus oxyrinchus,NA,EN,NA,NA,NA,UM
39374,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,Carcharhinus longimanus,NA,CR,NA,NA,NA,UM
39378,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Galeocerdo,Galeocerdo cuvier,NA,NT,NA,NA,NA,UM
39381,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Prionace,Prionace glauca,NA,NT,NA,NA,NA,UM
44673,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus fuscoguttatus,NA,VU,NA,NA,NA,UM
44675,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Hyporthodus,Hyporthodus quernus,NA,LC,NA,NA,NA,UM
60324,ANIMALIA,CHORDATA,ACTINOPTERYGII,GONORYNCHIFORMES,CHANIDAE,Chanos,Chanos chanos,NA,LC,NA,NA,NA,UM
61339,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus polyphekadion,NA,VU,NA,NA,NA,UM
61433,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Phelsuma,Phelsuma laticauda,NA,LC,NA,NA,NA,UM
63571,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bolbometopon,Bolbometopon muricatum,NA,VU,NA,NA,NA,UM
64411,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Plectropomus,Plectropomus areolatus,NA,VU,NA,NA,NA,UM
64412,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Plectropomus,Plectropomus laevis,NA,LC,NA,NA,NA,UM
132723,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus maculatus,NA,LC,NA,NA,NA,UM
132731,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus socialis,NA,LC,NA,NA,NA,UM
132732,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Cephalopholis,Cephalopholis miniata,NA,LC,NA,NA,NA,UM
132737,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Cephalopholis,Cephalopholis leopardus,NA,LC,NA,NA,NA,UM
132738,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Variola,Variola louti,NA,LC,NA,NA,NA,UM
132741,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Cephalopholis,Cephalopholis sexmaculata,NA,LC,NA,NA,NA,UM
132746,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus melanostigma,NA,LC,NA,NA,NA,UM
132747,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus spilotoceps,NA,LC,NA,NA,NA,UM
132757,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Cephalopholis,Cephalopholis sonnerati,NA,LC,NA,NA,NA,UM
132758,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus tauvina,NA,DD,NA,NA,NA,UM
132766,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus macrospilos,NA,LC,NA,NA,NA,UM
132778,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus hexagonatus,NA,LC,NA,NA,NA,UM
132781,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Cephalopholis,Cephalopholis argus,NA,LC,NA,NA,NA,UM
132783,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Cephalopholis,Cephalopholis urodeta,NA,LC,NA,NA,NA,UM
132787,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Anyperodon,Anyperodon leucogrammicus,NA,LC,NA,NA,NA,UM
132788,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus merra,NA,LC,NA,NA,NA,UM
132794,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus retouti,NA,LC,NA,NA,NA,UM
132800,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Gracila,Gracila albomarginata,NA,LC,NA,NA,NA,UM
132817,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus fasciatus,NA,LC,NA,NA,NA,UM
132825,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Cephalopholis,Cephalopholis spiloparaea,NA,LC,NA,NA,NA,UM
132829,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus howlandi,NA,LC,NA,NA,NA,UM
132860,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,Psammocora stellata,NA,VU,NA,NA,NA,UM
132863,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora prostrata,NA,DD,NA,NA,NA,UM
132866,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora angulata,NA,VU,NA,NA,NA,UM
132874,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Scolymia,Scolymia lacera,NA,LC,NA,NA,NA,UM
132876,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,Leptoseris tubulifera,NA,LC,NA,NA,NA,UM
132883,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,Goniastrea australensis,NA,LC,NA,NA,NA,UM
132884,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Colpophyllia,Colpophyllia natans,NA,LC,NA,NA,NA,UM
132885,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,Leptoseris hawaiiensis,NA,LC,NA,NA,NA,UM
132888,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora secale,NA,NT,NA,NA,NA,UM
132903,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,Leptoseris solida,NA,LC,NA,NA,NA,UM
132904,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,Pavona minuta,NA,NT,NA,NA,NA,UM
132911,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,Pavona maldivensis,NA,LC,NA,NA,NA,UM
132917,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Gardineroseris,Gardineroseris planulata,NA,LC,NA,NA,NA,UM
132922,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,Montastrea curta,NA,LC,NA,NA,NA,UM
132923,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,Pocillopora woodjonesi,NA,LC,NA,NA,NA,UM
132936,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,Favia pallida,NA,LC,NA,NA,NA,UM
132938,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites evermanni,NA,DD,NA,NA,NA,UM
132940,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora acuminata,NA,VU,NA,NA,NA,UM
132942,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora patula,NA,VU,NA,NA,NA,UM
132948,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora granulosa,NA,NT,NA,NA,NA,UM
132958,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,Pocillopora capitata,NA,LC,NA,NA,NA,UM
132963,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Manicina,Manicina areolata,NA,LC,NA,NA,NA,UM
132966,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora rambleri,NA,DD,NA,NA,NA,UM
132969,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora listeri,NA,VU,NA,NA,NA,UM
132970,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Agaricia,Agaricia lamarcki,NA,VU,NA,NA,NA,UM
132972,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora paniculata,NA,VU,NA,NA,NA,UM
132975,ANIMALIA,CNIDARIA,HYDROZOA,MILLEPORINA,MILLEPORIDAE,Millepora,Millepora tenera,NA,LC,NA,NA,NA,UM
132976,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora loripes,NA,NT,NA,NA,NA,UM
132979,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,Favites complanata,NA,NT,NA,NA,NA,UM
132980,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptoria,Leptoria phrygia,NA,NT,NA,NA,NA,UM
132983,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,Leptastrea bottae,NA,NT,NA,NA,NA,UM
132986,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,Fungia repanda,NA,LC,NA,NA,NA,UM
132987,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,Echinopora gemmacea,NA,LC,NA,NA,NA,UM
132988,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora longicyathus,NA,LC,NA,NA,NA,UM
132992,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora humilis,NA,NT,NA,NA,NA,UM
132997,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,Montastrea valenciennesi,NA,NT,NA,NA,NA,UM
